#dir	item	auroc	lower-auroc	upper-auroc	precision	lower-pre	upper-pre	recall	lower-re	upper-re	tp	fp	fn	tn
../evaluation_study_models_gaze	K	0.489	0.388	0.625	0.408	0.295	0.522	0.769	0.655	0.923	20.0	29.0	6.0	13.0
../evaluation_study_models_gaze	VSVENT	0.428	0.242	0.612	0.024	0.0	0.073	0.5	0.0	1.0	1.0	40.0	1.0	26.0
../evaluation_study_models_gaze	VANT	0.594	0.194	0.985	0.133	0.0	0.294	0.5	0.0	1.0	2.0	13.0	2.0	51.0
../evaluation_study_models_gaze	heparin	0.617	0.457	0.76	0.35	0.174	0.533	0.438	0.231	0.647	7.0	13.0	9.0	39.0
../evaluation_study_models_gaze	MG	0.558	0.389	0.717	0.167	0.042	0.318	0.333	0.083	0.625	3.0	15.0	6.0	44.0
../evaluation_study_models_gaze	INR	0.678	0.549	0.805	0.125	0.0	0.333	0.091	0.0	0.25	1.0	7.0	10.0	50.0
../evaluation_study_models_gaze	TBILI	0.376	0.21	0.542	0.333	0.0	0.667	0.167	0.0	0.4	2.0	4.0	10.0	52.0
../evaluation_study_models_gaze	HCO3A	0.851	0.78	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	64.0
../evaluation_study_models_gaze	insulin regular (HumuLIN R^ NovoLIN R)	0.507	0.359	0.669	0.171	0.079	0.278	0.538	0.3	0.769	7.0	34.0	6.0	21.0
../evaluation_study_models_gaze	O2SAT	0.413	0.149	0.685	0	0	0	0.0	0.0	0.0	0.0	0.0	2.0	66.0
../evaluation_study_models_gaze	phenylephrine	0.623	0.516	0.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	3.0	43.0
../evaluation_study_models_gaze	TROPN	1.0	1.0	1.0	0	0	0	0.0	0.0	0.0	0.0	0.0	3.0	65.0
../evaluation_study_models_gaze	GLU	0.511	0.378	0.633	0.312	0.208	0.426	0.714	0.55	0.875	15.0	33.0	6.0	14.0
../evaluation_study_models_gaze	AST	0.698	0.592	0.799	0.133	0.0	0.294	0.2	0.0	0.429	2.0	13.0	8.0	45.0
../evaluation_study_models_gaze	NA	0.479	0.364	0.607	0.538	0.394	0.72	0.341	0.222	0.463	14.0	12.0	27.0	15.0
../evaluation_study_models_gaze	VSTRIA	0.374	0.141	0.619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	57.0
../evaluation_study_models_gaze	metronidazole	0.437	0.291	0.588	0.217	0.108	0.302	0.769	0.529	0.938	10.0	36.0	3.0	19.0
../evaluation_study_models_gaze	aspirin	0.115	0.056	0.185	0	0	0	0.0	0.0	0.0	0.0	0.0	3.0	65.0
../evaluation_study_models_gaze	CL	0.39	0.227	0.557	0.121	0.031	0.219	0.333	0.1	0.571	4.0	29.0	8.0	27.0
../evaluation_study_models_gaze	CA	0.239	0.063	0.433	0.024	0.0	0.071	0.5	0.0	1.0	1.0	41.0	1.0	25.0
../evaluation_study_models_gaze	piperacillin-tazobactam	0.478	0.306	0.632	0.185	0.071	0.318	0.333	0.133	0.538	5.0	22.0	10.0	31.0
../evaluation_study_models_gaze	PLT	0.417	0.308	0.541	0.4	0.265	0.565	0.4	0.258	0.552	12.0	18.0	18.0	20.0
../evaluation_study_models_gaze	ALB	0.724	0.634	0.803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	1.0	52.0
../evaluation_study_models_gaze	PCO2	0.453	0.285	0.614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	60.0
../evaluation_study_models_gaze	metoprolol	0.299	0.155	0.449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	53.0
../evaluation_study_models_gaze	ALT	0.895	0.829	0.962	0	0	0	0.0	0.0	0.0	0.0	0.0	10.0	58.0
../evaluation_study_models_gaze	Base solution	0.48	0.353	0.606	0.351	0.226	0.486	0.684	0.5	0.857	13.0	24.0	6.0	25.0
../evaluation_study_models_gaze	WBC	0.596	0.472	0.711	0.87	0.739	0.967	0.4	0.292	0.522	20.0	3.0	30.0	15.0
../evaluation_study_models_gaze	VSTUBE	0.478	0.309	0.648	0.135	0.051	0.233	0.556	0.25	0.833	5.0	32.0	4.0	27.0
../evaluation_study_models_gaze	VTRR	0.589	0.454	0.706	0.283	0.194	0.39	1.0	1.0	1.0	17.0	43.0	0.0	8.0
../evaluation_study_models_gaze	LORazepam	0.654	0.563	0.742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	58.0
../evaluation_study_models_gaze	MODE	0.638	0.518	0.759	0.4	0.286	0.533	0.9	0.778	1.0	18.0	27.0	2.0	21.0
../evaluation_study_models_gaze	acetaminophen	0.799	0.712	0.873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	59.0
../evaluation_study_models_gaze	ICA	0.575	0.485	0.679	0.032	0.028	0.103	1.0	1.0	1.0	1.0	30.0	0.0	37.0
../evaluation_study_models_gaze	PO2	0.362	0.154	0.586	0.062	0.0	0.182	0.167	0.0	0.5	1.0	15.0	5.0	47.0
../evaluation_study_models_gaze	BAND	0.336	0.212	0.488	0	0	0	0.0	0.0	0.0	0.0	0.0	15.0	53.0
../evaluation_study_models_gaze	norepinephrine	0.821	0.728	0.896	0.433	0.286	0.586	1.0	1.0	1.0	13.0	17.0	0.0	38.0
../evaluation_study_models_gaze	IO	0.576	0.455	0.713	0.707	0.605	0.838	0.674	0.553	0.791	29.0	12.0	14.0	13.0
../evaluation_study_models_gaze	HGB	0.492	0.375	0.611	0.481	0.333	0.667	0.419	0.273	0.567	13.0	14.0	18.0	23.0
../evaluation_study_models_gaze	ALKP	0.779	0.635	0.925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	59.0
../evaluation_study_models_gaze	GFR	0.396	0.306	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	1.0	51.0
../evaluation_study_models_gaze	Dextrose 5% in Water	0.669	0.269	0.977	0.091	0.0	0.2	0.667	0.0	1.0	2.0	20.0	1.0	45.0
../evaluation_study_models_gaze	albuterol-ipratropium	0.69	0.408	0.965	0.094	0.038	0.167	1.0	1.0	1.0	5.0	48.0	0.0	15.0
../evaluation_study_models_gaze	MCV	0.136	0.092	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	55.0
